CouLo_Name,CouPC_PostCode
Abiul,3100-032
Abiul,3100-033
Abiul,3100-034
Abiul,3100-035
Abiul,3100-036
Abiul,3100-037
Abiul,3100-038
Abiul,3100-039
Abiul,3100-040
Abiul,3100-041
Abiul,3100-042
Abiul,3100-043
Abiul,3100-044
Abiul,3100-045
Abiul,3100-046
Abiul,3100-047
Abiul,3100-048
Abiul,3100-049
Abiul,3100-050
Abiul,3100-051
Abiul,3100-052
Abiul,3100-053
Abiul,3100-054
Abiul,3100-055
Abiul,3100-056
Abiul,3100-057
Abiul,3100-058
Abiul,3100-059
Abiul,3100-060
Abiul,3100-061
Abiul,3100-062
Abiul,3100-063
Abiul,3100-064
Abiul,3100-065
Abiul,3100-066
Abiul,3100-067
Abiul,3100-068
Abiul,3100-069
Aboadela,4600-500
Aboboreira,6120-111
Aboboreira,6120-112
Aboboreira,6120-113
Aboboreira,6120-114
Aboboreira,6120-115
Aboboreira,6120-116
Aboboreira,6120-117
Aboim,4600-510
Aboim,4820-001
Aboim da Nóbrega,4730-010
Aboim da Nóbrega,4730-011
Aboim da Nóbrega,4730-012
Aboim da Nóbrega,4730-013
Aboim da Nóbrega,4730-014
Aboim das Choças,4970-010
Aboim das Choças,4970-011
Aboim das Choças,4970-012
Aboim das Choças,4970-013
Aboim das Choças,4970-014
Aboim das Choças,4970-015
Aboim das Choças,4970-016
Aboim das Choças,4970-017
Aboim das Choças,4970-018
Aborim,4750-021
Aborim,4750-022
Aborim,4750-023
Aborim,4750-024
Aborim,4750-025
Aborim,4750-026
Aborim,4750-027
Aborim,4750-028
Abrã,2025-011
Abrã,2025-012
Abrã,2025-013
Abrã,2025-014
Abrã,2025-015
Abragão,4560-001
Abragão,4560-002
Abragão,4560-003
Abragão,4560-004
Abragão,4560-005
Abragão,4560-006
Abragão,4560-007
Abragão,4560-008
Abragão,4560-009
Abragão,4560-010
Abragão,4560-011
Abragão,4560-012
Abragão,4560-013
Abragão,4560-014
Abragão,4560-015
Abragão,4560-016
Abragão,4560-017
Abragão,4560-018
Abragão,4560-019
Abragão,4560-020
Abragão,4560-021
Abragão,4560-022
Abragão,4560-023
Abragão,4560-024
Abragão,4560-025
Abragão,4560-026
Abragão,4560-027
Abragão,4560-028
Abragão,4560-029
Abragão,4560-030
Abragão,4560-031
Abragão,4560-032
Abragão,4560-033
Abragão,4560-034
Abragão,4560-035
Abragão,4560-036
Abraveses,3510-107
Abraveses,3510-151
Abraveses,3510-152
Abraveses,3510-153
Abraveses,3510-154
Abraveses,3510-155
Abraveses,3510-156
Abraveses,3510-157
Abraveses,3510-158
Abraveses,3510-159
Abraveses,3510-160
Abraveses,3510-161
Abraveses,3510-162
Abraveses,3510-163
Abraveses,3510-164
Abraveses,3510-165
Abraveses,3510-166
Abraveses,3510-167
Abraveses,3510-168
Abraveses,3510-169
Abraveses,3510-170
Abraveses,3510-172
Abraveses,3510-173
Abraveses,3510-174
Abraveses,3510-175
Abraveses,3510-177
Abraveses,3510-178
Abraveses,3510-179
Abraveses,3510-180
Abraveses,3510-181
Abraveses,3510-182
Abraveses,3510-183
Abraveses,3510-184
Abraveses,3510-185
Abraveses,3510-186
Abraveses,3510-187
Abraveses,3510-188
Abraveses,3510-189
Abraveses,3510-190
Abraveses,3510-191
Abraveses,3510-192
Abraveses,3510-193
Abraveses,3510-194
Abraveses,3510-195
Abraveses,3510-197
Abraveses,3510-198
Abraveses,3510-199
Abraveses,3510-200
Abraveses,3510-201
Abraveses,3510-202
Abraveses,3510-203
Abraveses,3510-204
Abraveses,3510-205
Abraveses,3510-206
Abraveses,3510-207
Abraveses,3510-208
Abraveses,3510-209
Abraveses,3510-210
Abraveses,3510-211
Abraveses,3510-212
Abraveses,3510-213
Abraveses,3510-214
Abraveses,3510-215
Abraveses,3510-216
Abraveses,3510-217
Abraveses,3510-218
Abraveses,3510-219
Abraveses,3510-220
Abraveses,3510-221
Abraveses,3510-222
Abraveses,3510-223
Abraveses,3510-224
Abraveses,3510-225
Abraveses,3510-226
Abraveses,3510-228
Abraveses,3510-229
Abraveses,3510-230
Abraveses,3510-231
Abraveses,3510-232
Abraveses,3510-233
Abraveses,3510-234
Abraveses,3510-235
Abraveses,3510-236
Abraveses,3510-237
Abraveses,3510-238
Abraveses,3510-239
Abraveses,3510-240
Abraveses,3510-241
Abraveses,3510-242
Abraveses,3510-243
Abraveses,3510-244
Abraveses,3510-245
Abraveses,3510-246
Abraveses,3510-247
Abraveses,3510-248
Abraveses,3510-249
Abraveses,3510-250
Abraveses,3510-251
Abraveses,3510-252
Abraveses,3510-253
Abraveses,3510-254
Abraveses,3510-255
Abraveses,3510-256
Abraveses,3510-257
Abraveses,3510-258
Abraveses,3510-259
Abraveses,3510-260
Abraveses,3510-261
Abraveses,3510-262
Abraveses,3510-263
Abraveses,3510-264
Abraveses,3510-265
Abraveses,3510-266
Abraveses,3510-267
Abraveses,3510-268
Abraveses,3510-269
Abraveses,3510-270
Abraveses,3510-271
Abraveses,3510-272
Abraveses,3510-273
Abraveses,3510-274
Abraveses,3510-275
Abraveses,3510-276
Abraveses,3510-277
Abraveses,3510-278
Abraveses,3510-279
Abraveses,3510-280
Abraveses,3510-594
Abraveses,3510-595
Abraveses,3510-140
Abraveses,3510-141
Abraveses,3510-142
Abraveses,3510-143
Abraveses,3510-144
Abraveses,3510-145
Abraveses,3510-146
Abreiro,5370-021
Abreiro,5370-022
Abreiro,5370-023
Abrigada,2580-001
Abrigada,2580-002
Abrigada,2580-003
Abrigada,2580-004
Abrigada,2580-005
Abrigada,2580-006
Abrigada,2580-007
Abrigada,2580-008
Abrigada,2580-009
Abrigada,2580-010
Abrigada,2580-011
Abrigada,2580-012
Abrigada,2580-013
Abrigada,2580-014
Abrigada,2580-015
Abrigada,2580-016
Abrigada,2580-017
Abrigada,2580-018
Abrigada,2580-019
Abrigada,2580-020
Abrigada,2580-021
Abrigada,2580-022
Abrigada,2580-023
Abrigada,2580-024
Abrigada,2580-025
Abrigada,2580-026
Abrigada,2580-027
Abrigada,2580-028
Abrigada,2580-029
Abrigada,2580-030
Abrigada,2580-031
Abrigada,2580-032
Abrigada,2580-033
Abrigada,2580-034
Abrigada,2580-035
Abrigada,2580-036
Abrigada,2580-037
Abrigada,2580-038
Abrigada,2580-039
Abrigada,2580-040
Abrigada,2580-041
Abrigada,2580-042
Abrigada,2580-043
Abrigada,2580-044
Abrigada,2580-045
Abrigada,2580-046
Abrigada,2580-060
Abrigada,2580-061
Abrigada,2580-062
Abrigada,2580-063
Abrigada,2580-064
Abrigada,2580-065
Abrigada,2580-066
Abrigada,2580-067
Abrunheira,3140-011
Abrunheira,3140-014
Abrunheira,3140-015
Abrunheira,3140-016
Abrunhosa-a-Velha,3530-010
Abrunhosa-a-Velha,3530-011
Abrunhosa-a-Velha,3530-012
Achada,9630-011
Achada,9630-012
Achada,9630-013
Achada,9630-014
Achada,9630-015
Achada,9630-016
Achada,9630-017
Achada,9630-018
Achada,9630-019
Achada,9630-020
Achada,9630-021
Achada,9630-022
Achada,9630-023
Achada,9630-024
Achadas da Cruz,9270-011
Achadas da Cruz,9270-012
Achadas da Cruz,9270-013
Achadas da Cruz,9270-014
Achadinha,9630-041
Achadinha,9630-042
Achadinha,9630-043
Achadinha,9630-044
Achadinha,9630-045
Achadinha,9630-046
Achadinha,9630-047
Achadinha,9630-048
Achadinha,9630-049
Achadinha,9630-050
Achadinha,9630-051
Achete,2000-320
Achete,2000-321
Achete,2000-322
Achete,2000-323
Achete,2000-324
Achete,2000-325
Achete,2000-326
Achete,2000-327
Achete,2000-328
Achete,2000-329
Achete,2000-330
Achete,2000-331
Achete,2000-332
Achete,2000-333
Achete,2000-334
Achete,2000-335
Achete,2000-336
Achete,2000-337
Achete,2000-338
Achete,2000-339
Achete,2000-340
Achete,2000-341
Achete,2000-342
Achete,2000-343
Achete,2000-344
Achete,2000-345
Achete,2000-346
Açoreira,5160-011
Açores,6360-010
Adães,4755-001
Adães,4755-002
Adães,4755-003
Adães,4755-004
Adães,4755-005
Adães,4755-006
Adão,6300-010
Adaúfe,4710-551
Adaúfe,4710-552
Adaúfe,4710-553
Adaúfe,4710-554
Adaúfe,4710-555
Adaúfe,4710-556
Adaúfe,4710-557
Adaúfe,4710-558
Adaúfe,4710-559
Adaúfe,4710-560
Adaúfe,4710-561
Adaúfe,4710-562
Adaúfe,4710-563
Adaúfe,4710-564
Adaúfe,4710-565
Adaúfe,4710-566
Adaúfe,4710-567
Adaúfe,4710-568
Adaúfe,4710-569
Adaúfe,4710-570
Adaúfe,4710-571
Adaúfe,4710-572
Adaúfe,4710-573
Adaúfe,4710-574
Adaúfe,4710-575
Adaúfe,4710-576
Adaúfe,4710-577
Adaúfe,4710-578
Adaúfe,4710-579
Adaúfe,4710-580
Adaúfe,4710-581
Adaúfe,4710-582
Adaúfe,4710-583
Adaúfe,4710-584
Adaúfe,4710-585
Ade,6355-010
Adeganha,5160-021
Adeganha,5160-022
Adorigo,5120-011
Adorigo,5120-012
Adorigo,5120-013
Adorigo,5120-014
Adoufe,5000-021
Adoufe,5000-022
Adoufe,5000-023
Adoufe,5000-024
Adoufe,5000-025
Adoufe,5000-026
Adoufe,5000-027
Adoufe,5000-028
Afife,4900-011
Afife,4900-012
Afonsim,5450-100
Afonsim,5450-101
Afonsim,5450-103
Afonsoeiro,2870-801
Afonsoeiro,2870-802
Afonsoeiro,2870-803
Afonsoeiro,2870-804
Afonsoeiro,2870-805
Afonsoeiro,2870-806
Afonsoeiro,2870-807
Afonsoeiro,2870-808
Afonsoeiro,2870-809
Afonsoeiro,2870-810
Afonsoeiro,2870-811
Afonsoeiro,2870-812
Afonsoeiro,2870-813
Afonsoeiro,2870-814
Afonsoeiro,2870-815
Afonsoeiro,2870-816
Afonsoeiro,2870-817
Afonsoeiro,2870-818
Afonsoeiro,2870-819
Afonsoeiro,2870-820
Afonsoeiro,2870-821
Afonsoeiro,2870-822
Afonsoeiro,2870-823
Afonsoeiro,2870-824
Afonsoeiro,2870-850
Afonsoeiro,2870-860
Afonsoeiro,2870-861
Afonsoeiro,2870-862
Afonsoeiro,2870-863
Afonsoeiro,2870-864
Afonsoeiro,2870-865
Afonsoeiro,2870-866
Afonsoeiro,2870-867
Afonsoeiro,2870-868
Afonsoeiro,2870-869
Afonsoeiro,2870-870
Afonsoeiro,2870-871
Afonsoeiro,2870-872
Afonsoeiro,2870-873
Afonsoeiro,2870-874
Afonsoeiro,2870-875
Afonsoeiro,2870-878
Afonsoeiro,2870-879
Afonsoeiro,2870-890
Agadão,3750-011
Agadão,3750-012
Agadão,3750-013
Agadão,3750-014
Agadão,3750-015
Agadão,3750-016
Agadão,3750-017
Agadão,3750-018
Agadão,3750-019
Agilde,4615-801
Agilde,4615-802
Agilde,4615-803
Agilde,4615-804
Agilde,4615-805
Agilde,4615-806
Agilde,4615-807
Agilde,4615-808
Agilde,4615-809
Agilde,4615-810
Agilde,4615-811
Agilde,4615-812
Agilde,4615-814
Agilde,4615-815
Agilde,4615-816
Agilde,4615-818
Agilde,4615-819
Agilde,4615-820
Agrela,4820-003
Agrela,4825-001
Agrela,4825-002
Agrela,4825-003
Agrela,4825-004
Agrela,4825-005
Agrela,4825-006
Agrela,4825-007
Agrela,4825-008
Agrela,4825-009
Agrela,4825-010
Agrela,4825-011
Agrela,4825-012
Agrela,4825-013
Agrela,4825-014
Agrela,4825-015
Agrela,4825-016
Agrela,4825-017
Agrela,4825-018
Agrela,4825-019
Agrela,4825-020
Agrela,4825-021
Agrela,4825-022
Agrela,4825-023
Agrela,4825-024
Agrela,4825-025
Agrela,4825-026
Agrela,4825-027
Agrela,4825-028
Agrela,4825-029
Agrela,4825-030
Agrela,4825-031
Agrela,4825-032
Agrela,4825-033
Agrela,4825-034
Agrela,4825-035
Agrela,4825-036
Agrela,4825-037
Agrela,4825-038
Agrela,4825-039
Agrela,4825-040
Agrela,4825-041
Agrela,4825-042
Agrela,4825-043
Agrela,4825-044
Agrela,4825-045
Agrela,4825-046
Agrela,4825-047
Agrela,4825-048
Agrela,4825-049
Agrela,4825-050
Agrela,4825-051
Agrela,4825-052
Agrela,4825-053
Agrela,4825-054
Agrela,4825-055
Agrela,4825-056
Agrela,4825-057
Agrela,4825-058
Agrela,4825-059
Agrela,4825-060
Agrela,4825-061
Agrela,4825-062
Agrobom,5350-101
Agrobom,5350-102
Agrochão,5335-011
Água de Alto,9680-301
Água de Alto,9680-302
Água de Alto,9680-303
Água de Alto,9680-304
Água de Alto,9680-305
Água de Alto,9680-306
Água de Alto,9680-307
Água de Alto,9680-308
Água de Alto,9680-309
Água de Alto,9680-310
Água de Alto,9680-311
Água de Alto,9680-312
Água de Alto,9680-313
Água de Alto,9680-314
Água de Alto,9680-315
Água de Alto,9680-316
Água de Alto,9680-317
Água de Alto,9680-318
Água de Alto,9680-319
Água de Alto,9680-320
Água de Alto,9680-321
Água de Alto,9680-322
Água de Alto,9680-323
Água de Alto,9680-324
Água de Alto,9680-350
Água de Alto,9680-355
Água de Alto,9680-360
Água de Alto,9680-365
Água de Alto,9680-370
Água de Pena,9200-011
Água de Pena,9200-012
Água de Pena,9200-013
Água de Pena,9200-014
Água de Pena,9200-015
Água de Pena,9200-016
Água de Pena,9200-017
Água de Pena,9200-018
Água Longa,4825-063
Água Longa,4825-064
Água Longa,4825-065
Água Longa,4825-066
Água Longa,4825-067
Água Longa,4825-068
Água Longa,4825-069
Água Longa,4825-070
Água Longa,4825-071
Água Longa,4825-072
Água Longa,4825-073
Água Longa,4825-074
Água Longa,4825-075
Água Longa,4825-076
Água Longa,4825-077
Água Longa,4825-078
Água Longa,4825-079
Água Longa,4825-080
Água Longa,4825-081
Água Longa,4825-082
Água Longa,4825-083
Água Longa,4825-084
Água Longa,4825-085
Água Longa,4825-086
Água Longa,4825-087
Água Longa,4825-088
Água Longa,4825-089
Água Longa,4825-090
Água Longa,4825-091
Água Longa,4825-092
Água Longa,4825-093
Água Longa,4825-094
Água Longa,4825-095
Água Longa,4825-096
Água Longa,4825-097
Água Longa,4825-098
Água Longa,4825-099
Água Longa,4825-100
Água Longa,4825-101
Água Longa,4825-102
Água Longa,4825-103
Água Longa,4825-104
Água Longa,4825-105
Água Longa,4825-106
Água Longa,4825-107
Água Longa,4825-108
Água Longa,4825-109
Água Longa,4825-110
Água Longa,4825-111
Água Longa,4825-112
Água Longa,4825-113
Água Longa,4825-114
Água Longa,4825-115
Água Longa,4825-116
Água Longa,4825-117
Água Longa,4825-118
Água Longa,4825-119
Água Longa,4825-120
Água Longa,4825-121
Água Longa,4825-122
Água Longa,4825-123
Água Longa,4825-124
Água Longa,4825-125
Água Longa,4825-126
Água Longa,4825-127
Água Longa,4825-128
Água Longa,4825-129
Água Longa,4825-130
Água Longa,4825-131
Água Longa,4825-132
Água Longa,4825-133
Água Longa,4825-134
Água Retorta,9650-011
Água Retorta,9650-012
Água Retorta,9650-013
Água Retorta,9650-014
Água Retorta,9650-015
Água Retorta,9650-016
Água Retorta,9650-017
Água Retorta,9650-018
Água Retorta,9650-019
Água Retorta,9650-020
Água Retorta,9650-021
Água Retorta,9650-022
Água Retorta,9650-023
Água Retorta,9650-024
Água Retorta,9650-025
Água Retorta,9650-050
Água Retorta,9650-060
Água Revês e Crasto,5430-008
Água Revês e Crasto,5430-011
Água Revês e Crasto,5430-012
Água Revês e Crasto,5430-013
Aguada de Baixo,3750-031
Aguada de Baixo,3750-032
Aguada de Baixo,3750-033
Aguada de Baixo,3750-034
Aguada de Baixo,3750-035
Aguada de Cima,3750-041
Aguada de Cima,3750-042
Aguada de Cima,3750-043
Aguada de Cima,3750-044
Aguada de Cima,3750-045
Aguada de Cima,3750-046
Aguada de Cima,3750-047
Aguada de Cima,3750-048
Aguada de Cima,3750-049
Aguada de Cima,3750-050
Aguada de Cima,3750-051
Aguada de Cima,3750-052
Aguada de Cima,3750-053
Aguada de Cima,3750-054
Aguada de Cima,3750-055
Aguada de Cima,3750-056
Aguada de Cima,3750-057
Aguada de Cima,3750-058
Aguada de Cima,3750-059
Aguada de Cima,3750-060
Aguada de Cima,3750-061
Aguada de Cima,3750-062
Aguada de Cima,3750-063
Aguada de Cima,3750-064
Aguada de Cima,3750-065
Aguada de Cima,3750-066
Agualonga,4940-011
Agualonga,4940-012
Agualonga,4940-013
Agualonga,4940-014
Agualonga,4940-015
Agualonga,4940-016
Agualonga,4940-017
Agualonga,4940-018
Agualonga,4940-019
Agualonga,4940-020
Agualonga,4940-021
Agualonga,4940-022
Agualonga,4940-023
Agualonga,4940-024
Agualonga,4940-025
Agualonga,4940-026
Agualonga,4940-027
Agualonga,4940-028
Agualonga,4940-029
Agualonga,4940-030
Agualonga,4940-031
Agualonga,4940-032
Agualonga,4940-033
Agualonga,4940-034
Agualonga,4940-035
Agualonga,4940-037
Agualonga,4940-038
Agualonga,4940-039
Agualonga,4940-040
Agualonga,4940-041
Agualonga,4940-042
Agualonga,4940-043
Agualva,9760-011
Agualva,9760-012
Agualva,9760-014
Agualva,9760-015
Agualva,9760-016
Agualva,9760-017
Agualva,9760-018
Agualva,9760-019
Agualva,9760-020
Agualva,9760-021
Agualva,9760-022
Agualva,9760-023
Agualva,9760-024
Agualva,9760-025
Agualva,9760-026
Agualva,9760-027
Agualva,9760-028
Agualva,9760-029
Agualva,9760-030
Agualva,9760-031
Agualva,9760-032
Agualva,9760-033
Agualva,9760-034
Agualva,9760-035
Agualva,9760-036
Agualva,9760-037
Agualva,9760-038
Agualva-Cacém,2735-011
Agualva-Cacém,2735-012
Agualva-Cacém,2735-013
Agualva-Cacém,2735-014
Agualva-Cacém,2735-015
Agualva-Cacém,2735-016
Agualva-Cacém,2735-017
Agualva-Cacém,2735-018
Agualva-Cacém,2735-019
Agualva-Cacém,2735-020
Agualva-Cacém,2735-021
Agualva-Cacém,2735-022
Agualva-Cacém,2735-023
Agualva-Cacém,2735-024
Agualva-Cacém,2735-025
Agualva-Cacém,2735-026
Agualva-Cacém,2735-027
Agualva-Cacém,2735-028
Agualva-Cacém,2735-029
Agualva-Cacém,2735-030
Agualva-Cacém,2735-031
Agualva-Cacém,2735-032
Agualva-Cacém,2735-033
Agualva-Cacém,2735-034
Agualva-Cacém,2735-035
Agualva-Cacém,2735-036
Agualva-Cacém,2735-037
Agualva-Cacém,2735-038
Agualva-Cacém,2735-039
Agualva-Cacém,2735-040
Agualva-Cacém,2735-041
Agualva-Cacém,2735-042
Agualva-Cacém,2735-043
Agualva-Cacém,2735-044
